year,round,match,home_team,away_team,ground_condition,weather,main_ref,first_try_scorer,first_try_minute,first_try_team,home_tries,home_run_metres,home_all_runs,home_post_contact_metres,home_kick_metres,home_kick_return_metres,home_line_breaks,home_tackle_breaks,home_missed_tackles,home_tackles_made,home_errors,home_offloads,home_penalties,home_completion_rate,home_effective_tackle,home_play_ball_speed,home_avg_set_distance,home_kicks,home_bombs,home_grubbers,home_intercepts,home_conversion_rate,home_kick_defusal,home_dummy_passes,home_sin_bins,away_tries,away_run_metres,away_all_runs,away_post_contact_metres,away_kick_metres,away_kick_return_metres,away_line_breaks,away_tackle_breaks,away_missed_tackles,away_tackles_made,away_errors,away_offloads,away_penalties,away_completion_rate,away_effective_tackle,away_play_ball_speed,away_avg_set_distance,away_kicks,away_bombs,away_grubbers,away_intercepts,away_conversion_rate,away_kick_defusal,away_dummy_passes,away_sin_bins,diff_tries,diff_run_metres,diff_all_runs,diff_post_contact_metres,diff_kick_metres,diff_kick_return_metres,diff_line_breaks,diff_tackle_breaks,diff_missed_tackles,diff_tackles_made,diff_errors,diff_offloads,diff_penalties,diff_completion_rate,diff_effective_tackle,diff_play_ball_speed,diff_avg_set_distance,diff_kicks,diff_bombs,diff_grubbers,diff_intercepts,diff_conversion_rate,diff_kick_defusal,diff_dummy_passes,diff_sin_bins
2021,1,Storm v Rabbitohs,Storm,Rabbitohs,Good,,Grant Atkins,Cameron Munster,2',storm,4.0,1430.0,169.0,433.0,548.0,176.0,5.0,22.0,2.0,34.0,2.0,4.0,4.0,78.0,85.2,3.66,34.88,21.0,5.0,305.0,19.0,0.75,100.0,9.0,22.0,3.0,1330.0,173.0,406.0,492.0,112.0,3.0,34.0,1.0,22.0,3.0,10.0,3.0,62.0,91.6,3.57,33.27,15.0,4.0,338.0,9.0,1.0,64.0,22.0,6.0,1.0,100.0,-4.0,27.0,56.0,64.0,2.0,-12.0,1.0,12.0,-1.0,-6.0,1.0,16.0,-6.3999999999999915,0.0900000000000003,1.6099999999999994,6.0,1.0,-33.0,10.0,-0.25,36.0,-13.0,16.0
2021,1,Knights v Bulldogs,Knights,Bulldogs,Good,,Ben Cummins,Dallin Watene-Zelezniak,3',bulldogs,5.0,1721.0,188.0,619.0,594.0,207.0,7.0,30.0,19.0,306.0,0.0,17.0,3.0,83.0,92.73,3.46,40.03,19.0,4.0,2.0,5.0,0.8,44.0,7.0,18.0,3.0,1371.0,146.0,472.0,691.0,155.0,4.0,19.0,30.0,332.0,5.0,2.0,4.0,72.0,85.57,3.05,38.09,20.0,2.0,4.0,26.0,0.6666666666666666,80.0,5.0,10.0,2.0,350.0,42.0,147.0,-97.0,52.0,3.0,11.0,-11.0,-26.0,-5.0,15.0,-1.0,11.0,7.160000000000011,0.41000000000000014,1.9399999999999977,-1.0,2.0,-2.0,-21.0,0.13333333333333341,-36.0,2.0,8.0
2021,1,Broncos v Eels,Broncos,Eels,Fair,,Adam Gee,Reed Mahoney,47',eels,3.0,1660.0,186.0,587.0,754.0,162.0,5.0,23.0,38.0,347.0,3.0,14.0,2.0,84.0,84.84,3.41,42.57,25.0,5.0,4.0,24.0,0.6666666666666666,53.0,10.0,16.0,4.0,1914.0,189.0,618.0,527.0,232.0,5.0,38.0,23.0,364.0,1.0,18.0,1.0,73.0,88.78,3.55,42.53,20.0,6.0,6.0,23.0,1.0,50.0,15.0,0.0,-1.0,-254.0,-3.0,-31.0,227.0,-70.0,0.0,-15.0,15.0,-17.0,2.0,-4.0,1.0,11.0,-3.9399999999999977,-0.13999999999999968,0.03999999999999915,5.0,-1.0,-2.0,1.0,-0.33333333333333337,3.0,-5.0,16.0
2021,1,Warriors v Titans,Warriors,Titans,Good,,Ashley Klein,Bayley Sironen,24',warriors,3.0,1604.0,179.0,655.0,553.0,133.0,3.0,25.0,24.0,334.0,4.0,14.0,6.0,90.0,87.89,3.51,37.32,23.0,9.0,4.0,22.0,1.0,80.0,3.0,6.0,1.0,1759.0,194.0,581.0,545.0,142.0,4.0,24.0,25.0,347.0,6.0,13.0,4.0,78.0,88.07,3.35,41.88,26.0,8.0,10.0,22.0,1.0,90.0,19.0,0.0,2.0,-155.0,-15.0,74.0,8.0,-9.0,-1.0,1.0,-1.0,-13.0,-2.0,1.0,2.0,12.0,-0.1799999999999926,0.1599999999999997,-4.560000000000002,-3.0,1.0,-6.0,0.0,0.0,-10.0,-16.0,6.0
2021,1,Roosters v Sea Eagles,Roosters,Sea Eagles,Good,,Chris Sutton,James Tedesco,2',roosters,9.0,2079.0,204.0,685.0,600.0,227.0,7.0,39.0,18.0,324.0,13.0,8.0,4.0,75.0,90.76,3.2,50.71,22.0,6.0,3.0,2.0,0.5555555555555556,60.0,19.0,,1.0,1359.0,160.0,558.0,542.0,131.0,1.0,18.0,39.0,326.0,14.0,8.0,1.0,68.0,84.9,3.64,35.77,17.0,4.0,1.0,1.0,0.0,60.0,9.0,,8.0,720.0,44.0,127.0,58.0,96.0,6.0,21.0,-21.0,-2.0,-1.0,0.0,3.0,7.0,5.859999999999999,-0.43999999999999995,14.939999999999998,5.0,2.0,2.0,1.0,0.5555555555555556,0.0,10.0,
2021,1,Panthers v Cowboys,Panthers,Cowboys,Good,,Matt Cecchin,Kurt Capewell,6',panthers,4.0,1956.0,218.0,726.0,508.0,194.0,7.0,42.0,302.0,4.0,17.0,7.0,3.0,67.0,92.64,3.34,42.53,21.0,1.0,5.0,16.0,0.75,50.0,19.0,8.0,0.0,1302.0,143.0,584.0,366.0,106.0,1.0,16.0,383.0,5.0,18.0,5.0,7.0,59.0,87.64,3.51,35.21,14.0,0.0,2.0,42.0,0.0,55.0,14.0,0.0,4.0,654.0,75.0,142.0,142.0,88.0,6.0,26.0,-81.0,-1.0,-1.0,2.0,-4.0,8.0,5.0,-0.16999999999999993,7.32,7.0,1.0,3.0,-26.0,0.75,-5.0,5.0,8.0
2021,1,Raiders v Wests Tigers,Raiders,Wests Tigers,Fair,Fine,Gerard Sutton,Jacob Liddle,25',wests-tigers,4.0,1439.0,154.0,569.0,472.0,147.0,5.0,35.0,29.0,308.0,14.0,6.0,5.0,67.0,86.52,3.86,35.99,17.0,4.0,4.0,1.0,0.8,100.0,26.0,1.0,2.0,1349.0,172.0,551.0,380.0,163.0,3.0,29.0,35.0,348.0,13.0,13.0,6.0,76.0,88.1,3.93,32.13,15.0,0.0,3.0,1.0,1.0,55.0,16.0,0.0,2.0,90.0,-18.0,18.0,92.0,-16.0,2.0,6.0,-6.0,-40.0,1.0,-7.0,-1.0,-9.0,-1.5799999999999983,-0.07000000000000028,3.8599999999999994,2.0,4.0,1.0,0.0,-0.19999999999999996,45.0,10.0,1.0
2021,1,Dragons v Sharks,Dragons,Sharks,Slippery,,Peter Gough,Josh Dugan,3',sharks,3.0,1530.0,159.0,560.0,442.0,233.0,1.0,34.0,42.0,398.0,3.0,9.0,0.0,70.0,89.24,3.74,45.01,18.0,5.0,7.0,6.0,1.0,40.0,24.0,0.0,5.0,1550.0,181.0,658.0,811.0,214.0,2.0,42.0,34.0,267.0,1.0,4.0,3.0,87.0,84.76,3.97,38.76,28.0,3.0,7.0,14.0,1.0,73.0,9.0,,-2.0,-20.0,-22.0,-98.0,-369.0,19.0,-1.0,-8.0,8.0,131.0,2.0,5.0,-3.0,-17.0,4.47999999999999,-0.22999999999999998,6.25,-10.0,2.0,0.0,-8.0,0.0,-33.0,15.0,
2021,2,Eels v Storm,Eels,Storm,Good,Showers,Ashley Klein,Maika Sivo,21',eels,3.0,1531.0,194.0,485.0,902.0,136.0,2.0,32.0,31.0,450.0,10.0,10.0,3.0,88.0,89.11,3.84,36.47,26.0,6.0,1.0,1.0,0.6666666666666666,79.0,11.0,,2.0,1835.0,213.0,557.0,649.0,262.0,4.0,31.0,32.0,382.0,9.0,10.0,3.0,78.0,88.84,3.46,39.06,27.0,7.0,6.0,0.0,1.0,67.0,18.0,,1.0,-304.0,-19.0,-72.0,253.0,-126.0,-2.0,1.0,-1.0,68.0,1.0,0.0,0.0,10.0,0.269999999999996,0.3799999999999999,-2.5900000000000034,-1.0,-1.0,-5.0,1.0,-0.33333333333333337,12.0,-7.0,
2021,2,Warriors v Knights,Warriors,Knights,Fair,,Grant Atkins,Jayden Brailey,16',knights,3.0,1611.0,192.0,622.0,812.0,126.0,3.0,16.0,22.0,340.0,6.0,7.0,0.0,87.0,91.64,3.45,34.29,28.0,5.0,5.0,9.0,0.6666666666666666,79.0,9.0,6.0,3.0,1544.0,183.0,504.0,649.0,164.0,3.0,22.0,16.0,457.0,4.0,7.0,1.0,92.0,93.84,3.28,40.64,25.0,13.0,2.0,14.0,1.0,83.0,5.0,8.0,0.0,67.0,9.0,118.0,163.0,-38.0,0.0,-6.0,6.0,-117.0,2.0,0.0,-1.0,-5.0,-2.200000000000003,0.17000000000000037,-6.350000000000001,3.0,-8.0,3.0,-5.0,-0.33333333333333337,-4.0,4.0,-2.0
