year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points
2021,1,Round 1,2021-03-11 09:05:00+00:00,Storm,26,Rabbitohs,18,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2021/round-1/storm-v-rabbitohs/,1,8,44
2021,1,Round 1,2021-03-12 07:00:00+00:00,Knights,32,Bulldogs,16,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/knights-v-bulldogs/,1,16,48
2021,1,Round 1,2021-03-12 09:05:00+00:00,Broncos,16,Eels,24,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/broncos-v-eels/,0,-8,40
2021,1,Round 1,2021-03-13 04:00:00+00:00,Warriors,19,Titans,6,Industree Group Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/warriors-v-titans/,1,13,25
2021,1,Round 1,2021-03-13 06:30:00+00:00,Roosters,46,Sea Eagles,4,Sydney Cricket Ground,https://www.nrl.com/draw/nrl-premiership/2021/round-1/roosters-v-sea-eagles/,1,42,50
2021,1,Round 1,2021-03-13 08:35:00+00:00,Panthers,24,Cowboys,0,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/panthers-v-cowboys/,1,24,24
2021,1,Round 1,2021-03-14 05:05:00+00:00,Raiders,30,Wests Tigers,12,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/raiders-v-wests-tigers/,1,18,42
2021,1,Round 1,2021-03-14 07:15:00+00:00,Dragons,18,Sharks,32,Netstrata Jubilee Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/dragons-v-sharks/,0,-14,50
2021,10,Round 10,2021-05-14 08:00:00+00:00,Wests Tigers,36,Knights,18,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-10/wests-tigers-v-knights/,1,18,54
2021,10,Round 10,2021-05-14 10:05:00+00:00,Sea Eagles,50,Broncos,6,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-10/sea-eagles-v-broncos/,1,44,56
2021,10,Round 10,2021-05-15 05:00:00+00:00,Bulldogs,18,Raiders,20,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-10/bulldogs-v-raiders/,0,-2,38
2021,10,Round 10,2021-05-15 07:30:00+00:00,Sharks,22,Rabbitohs,32,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-10/sharks-v-rabbitohs/,0,-10,54
2021,10,Round 10,2021-05-15 09:45:00+00:00,Roosters,30,Cowboys,16,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-10/roosters-v-cowboys/,1,14,46
2021,10,Round 10,2021-05-16 03:50:00+00:00,Warriors,18,Eels,34,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-10/warriors-v-eels/,0,-16,52
2021,10,Round 10,2021-05-16 06:05:00+00:00,Storm,44,Dragons,18,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-10/storm-v-dragons/,1,26,62
2021,10,Round 10,2021-05-16 08:25:00+00:00,Titans,12,Panthers,48,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-10/titans-v-panthers/,0,-36,60
2021,11,Round 11,2021-05-20 09:50:00+00:00,Cowboys,36,Knights,20,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-11/cowboys-v-knights/,1,16,56
