year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points,round_order,is_finals,margin,margin_category
2021,1,Round 1,2021-03-11,Storm,26,Rabbitohs,18,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2021/round-1/storm-v-rabbitohs/,1,8,44,1,0,8,Competitive (7-12)
2021,1,Round 1,2021-03-12,Knights,32,Bulldogs,16,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/knights-v-bulldogs/,1,16,48,1,0,16,Comfortable (13-24)
2021,1,Round 1,2021-03-12,Broncos,16,Eels,24,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/broncos-v-eels/,0,-8,40,1,0,8,Competitive (7-12)
2021,1,Round 1,2021-03-13,Warriors,19,Titans,6,Industree Group Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/warriors-v-titans/,1,13,25,1,0,13,Comfortable (13-24)
2021,1,Round 1,2021-03-13,Roosters,46,Sea Eagles,4,Sydney Cricket Ground,https://www.nrl.com/draw/nrl-premiership/2021/round-1/roosters-v-sea-eagles/,1,42,50,1,0,42,Blowout (25+)
2021,1,Round 1,2021-03-13,Panthers,24,Cowboys,0,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/panthers-v-cowboys/,1,24,24,1,0,24,Comfortable (13-24)
2021,1,Round 1,2021-03-14,Raiders,30,Wests Tigers,12,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/raiders-v-wests-tigers/,1,18,42,1,0,18,Comfortable (13-24)
2021,1,Round 1,2021-03-14,Dragons,18,Sharks,32,Netstrata Jubilee Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-1/dragons-v-sharks/,0,-14,50,1,0,14,Comfortable (13-24)
2021,2,Round 2,2021-03-18,Eels,16,Storm,12,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-2/eels-v-storm/,1,4,28,2,0,4,Close (1-6)
2021,2,Round 2,2021-03-19,Warriors,16,Knights,20,Industree Group Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-2/warriors-v-knights/,0,-4,36,2,0,4,Close (1-6)
2021,2,Round 2,2021-03-19,Titans,28,Broncos,16,Cbus Super Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-2/titans-v-broncos/,1,12,44,2,0,12,Competitive (7-12)
2021,2,Round 2,2021-03-20,Bulldogs,0,Panthers,28,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-2/bulldogs-v-panthers/,0,-28,28,2,0,28,Blowout (25+)
2021,2,Round 2,2021-03-20,Sea Eagles,12,Rabbitohs,26,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2021/round-2/sea-eagles-v-rabbitohs/,0,-14,38,2,0,14,Comfortable (13-24)
2021,2,Round 2,2021-03-20,Cowboys,18,Dragons,25,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-2/cowboys-v-dragons/,0,-7,43,2,0,7,Competitive (7-12)
2021,2,Round 2,2021-03-21,Wests Tigers,6,Roosters,40,Campbelltown Sports Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-2/wests-tigers-v-roosters/,0,-34,46,2,0,34,Blowout (25+)
2021,2,Round 2,2021-03-21,Sharks,10,Raiders,12,Netstrata Jubilee Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-2/sharks-v-raiders/,0,-2,22,2,0,2,Close (1-6)
2021,3,Round 3,2021-03-25,Panthers,12,Storm,10,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-3/panthers-v-storm/,1,2,22,3,0,2,Close (1-6)
2021,3,Round 3,2021-03-26,Dragons,38,Sea Eagles,12,WIN Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-3/dragons-v-sea-eagles/,1,26,50,3,0,26,Blowout (25+)
2021,3,Round 3,2021-03-26,Rabbitohs,26,Roosters,16,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-3/rabbitohs-v-roosters/,1,10,42,3,0,10,Competitive (7-12)
2021,3,Round 3,2021-03-27,Raiders,31,Warriors,34,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-3/raiders-v-warriors/,0,-3,65,3,0,3,Close (1-6)
